Net plot grain weight (g),,,WEIGHT OF GRAIN YIELD PER HILL OF 20 PLANTS (G),,,,,,,,,,,,,,,,,,,,,,POD LENGTH AT 65 DAYS AFTER PLANTING (CM),,,,,,,,,,,,,,,,,,,,,,NUMBER OF POD PER PLANT AT 60 DAYS AFTER PLANTING,,,,,,,,,,,,,,,,,,,,,,POD LOAD SCORING,
Treatments,Reps,,TREATMENTS,REPS,,,,,,,,,,,,,,,,,,,,,TRTS,BLOCK/REPS,,,,,,,,,,,,,,,,,,,,,TRTS,REPS/BLOCK,,,,,,,,,,,,,,,,,,,,,TRTS,BLK/REPS
E,198,,E,18,20,18,16,12,6,10,18,20,18,16,18,14,14,12,6,18,14,10,14,,E,11,19,11,10,8,16,14,9,10,11,11,10,18,16,16,15,12,12,11,13,12.65,E,6,11,1,8,3,9,2,6,9,12,7,2,4,9,6,3,3,4,4,9,5.9,E,4
E,110,,E,24,22,20,20,16,18,12,16,6,12,12,18,16,14,8,14,12,8,6,10,,E,20,8,9,10,12,12,18,15,16,17,9,8,10,11,12,13,14,15,11,12,12.6,E,7,6,3,3,7,14,8,2,7,8,6,4,7,3,9,8,3,4,4,3,5.8,E,4
E,116,,E,16,26,14,22,14,22,16,14,14,12,10,12,8,10,6,12,20,12,14,16,,E,11,9,8,12,13,12,11,9,16,14,13,17,9,8,7,11,12,10,13,14,11.45,E,9,10,2,5,1,7,1,7,11,10,5,7,8,9,11,13,2,6,3,5,6.6,E,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUCA VITRATA % OF FLOWER INFESTATION AND DAMAGE,,,,,,Megalurothrips sjostedti observation 1st observation,,,,,,,,,,,,,,,,,,,,,,megalurothrips sjostedti 2nd observation,,,,,,,,,,,,,,,,,,,,,MEGALOROTHRIPS SJOSTEDTI OBSERVATION 3RD OBSERVATION,,,,,,,,,,,,,,,,,,,,,
TREATMENTS,BLOCK/REPS,,,,,treatment ,reps/blks,,,,,,,,,,,,,,,,,,,,,treatments,reps/blk,,,,,,,,,,,,,,,,,,,,,TRTS,BLK/REPS,,,,,,,,,,,,,,,,,,,
A,30,,,,,A,3,3,2,1,4,2,4,3,2,3,2,4,1,4,1,4,2,3,2,3,,A,2,2,4,2,1,4,4,3,4,1,2,2,3,4,1,2,2,1,2,3,,A,3,2,1,3,2,1,1,2,3,4,3,1,2,2,3,3,4,3,4,2
A,25,,,,,A,3,2,1,2,3,3,1,3,4,1,3,2,2,3,3,2,4,1,3,2,,A,3,4,2,2,3,3,3,3,2,2,3,3,4,2,2,4,1,4,4,4,,A,3,2,1,4,2,2,3,4,1,2,3,3,3,2,2,1,1,1,2,2
A,10,,,,,A,3,2,1,1,3,3,1,3,2,1,2,4,3,2,2,3,2,2,1,3,,A,2,3,3,1,2,3,3,2,2,4,3,2,2,2,1,2,2,3,4,4,,A,1,3,2,4,3,4,1,2,2,3,1,2,2,2,2,3,3,4,3,2
A,15,,,,,A,2,3,1,4,1,2,1,4,2,4,3,2,4,2,3,3,3,3,3,3,,A,3,4,4,2,2,2,2,4,2,2,3,3,4,2,3,2,3,2,2,2,,A,1,2,3,4,3,2,1,2,3,1,2,2,2,1,1,3,1,3,2,2
B,20,,,,,B,3,3,1,2,3,2,2,4,2,4,2,3,2,3,2,4,2,3,2,3,,B,3,2,3,4,2,1,2,2,2,2,3,4,2,2,2,2,3,2,4,2,,B,4,2,1,4,2,3,1,2,2,3,2,4,4,3,2,2,4,3,2,3
B,25,,,,,B,4,3,2,4,2,4,3,1,3,4,4,2,4,2,3,1,4,3,2,1,,B,4,2,3,3,2,2,4,2,4,3,2,2,2,1,3,1,2,2,3,3,,B,3,2,4,1,2,3,4,3,3,4,3,3,1,1,2,4,1,2,3,3
B,15,,,,,B,4,3,2,2,1,2,2,4,1,4,3,3,4,2,4,3,2,2,3,4,,B,2,2,4,2,4,3,2,2,2,3,4,4,3,4,2,3,2,1,3,1,,B,3,4,2,2,4,3,3,1,2,3,2,1,1,2,1,3,3,2,3,4
B,20,,,,,B,3,2,4,1,2,1,3,1,2,2,4,3,2,2,3,2,2,4,1,1,,B,2,2,1,4,2,2,3,2,3,3,1,2,2,2,3,1,2,2,4,3,,B,3,1,2,3,2,2,1,2,2,1,2,3,3,3,2,3,4,1,1,3
C,25,,,,,C,3,2,3,3,2,3,3,1,3,1,1,2,2,3,3,3,1,3,1,3,,C,3,2,4,2,2,2,3,3,4,2,2,3,4,4,3,4,3,2,3,2,,C,3,2,4,1,4,3,3,2,1,2,3,4,1,4,1,3,2,3,2,3
C,20,,,,,C,3,2,4,3,2,4,3,4,2,3,1,2,1,4,2,4,3,2,3,3,,C,2,3,3,3,3,4,2,2,1,2,4,1,1,1,4,4,3,3,2,3,,C,3,2,4,1,4,3,3,2,1,2,3,4,1,4,1,3,2,3,2,3
C,10,,,,,C,3,2,4,1,3,4,4,3,2,2,2,4,3,4,3,2,1,3,1,3,,C,4,1,2,2,4,2,3,2,2,2,2,2,2,3,3,3,2,4,3,4,,C,2,3,4,1,2,4,2,3,2,2,3,3,4,2,2,4,4,1,2,3
C,5,,,,,C,2,3,4,1,3,3,4,3,3,3,1,4,2,3,3,1,2,2,2,2,,C,2,2,1,2,3,3,3,3,1,2,4,4,3,2,2,2,1,2,2,4,,C,2,3,4,1,2,2,3,4,4,2,4,1,3,4,2,2,2,3,2,1
D,25,,,,,D,3,3,1,4,2,4,2,3,4,4,2,3,3,1,3,2,3,3,2,3,,D,4,4,2,2,3,3,4,1,3,3,3,4,2,2,4,2,4,3,4,4,,D,1,1,2,3,4,4,3,3,3,4,4,1,1,4,3,3,4,1,2,3
D,15,,,,,D,1,2,3,1,2,2,2,4,3,4,4,2,3,2,4,1,2,3,3,2,,D,1,1,4,2,1,4,1,3,4,4,2,3,3,2,3,2,3,4,4,4,,D,1,2,3,4,4,2,3,1,2,3,2,4,4,3,3,4,2,2,1,3
D,20,,,,,D,1,2,3,4,4,3,1,2,3,2,3,1,1,4,3,1,4,4,2,1,,D,3,3,2,4,2,2,2,4,3,2,4,3,1,2,2,3,3,4,4,3,,D,3,1,2,4,3,2,2,1,3,4,2,2,1,4,3,2,1,3,3,2
